City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,chapais,49.7834,-74.8492,31.78,98,100,13.31,CA,1670074944
321,portlethen,57.0547,-2.1307,44.37,80,75,10.36,GB,1670074944
322,ewa beach,21.3156,-158.0072,75.43,86,100,5.75,US,1670074944
323,sobolevo,54.4299,31.8996,24.3,90,100,11.07,RU,1670074945
324,trincomalee,8.5711,81.2335,81.1,77,95,8.25,LK,1670074945
325,ayolas,-27.4,-56.9,86.83,52,23,3.33,PY,1670074945
326,guilin,25.2819,110.2864,44.71,86,100,7.09,CN,1670074945
327,sakaiminato,35.55,133.2333,51.78,71,75,5.75,JP,1670074945
328,slave lake,55.2834,-114.769,4.98,66,75,10.36,CA,1670074946
329,tarauaca,-8.1614,-70.7656,81.12,64,100,1.28,BR,1670074946
330,maradi,13.5,7.1017,95.22,17,0,9.22,NE,1670074946
331,klaksvik,62.2266,-6.589,45.52,97,100,17.96,FO,1670074940
332,hamilton,39.1834,-84.5333,56.17,81,100,11.99,US,1670074824
333,tabou,4.423,-7.3528,81.0,76,100,9.28,CI,1670074947
334,holbeach,52.804,0.0144,46.6,91,100,16.11,GB,1670074948
335,hovd,48.0056,91.6419,-0.49,76,0,4.5,MN,1670074948
336,jieshi,22.8134,115.8257,68.29,83,13,9.28,CN,1670074949
337,beyneu,45.3167,55.2,20.08,38,0,12.37,KZ,1670074949
338,san luis,-33.295,-66.3356,85.03,23,0,6.8,AR,1670074949
339,pedernales,18.0384,-71.744,80.46,60,0,3.4,DO,1670074949
340,tocopilla,-22.092,-70.1979,71.2,59,3,7.27,CL,1670074950
341,lompoc,34.6391,-120.4579,59.77,97,0,6.91,US,1670074950
342,krasnaya zarya,52.7825,37.6806,21.51,76,54,10.63,RU,1670074950
343,paita,-5.0892,-81.1144,70.12,76,21,12.15,PE,1670074950
344,key west,24.5557,-81.7826,82.4,71,20,10.36,US,1670074951
345,taicheng,38.731,113.228,20.23,20,40,3.87,CN,1670074951
346,zwedru,6.0667,-8.1281,84.4,65,98,0.98,LR,1670074951
347,carutapera,-1.195,-46.02,87.89,53,83,11.68,BR,1670074952
348,palauig,15.435,119.9045,81.37,72,100,4.25,PH,1670074952
349,banda aceh,5.5577,95.3222,77.25,88,100,10.4,ID,1670074952
350,nunkini,20.3333,-90.1833,75.29,81,5,7.16,MX,1670074952
351,mananjary,-21.2167,48.3333,80.37,71,33,12.77,MG,1670074953
352,krasnoarmeysk,51.0239,45.6969,17.2,49,0,12.59,RU,1670074953
353,verkhnyaya inta,65.9811,60.3094,10.83,95,100,14.29,RU,1670074953
354,port hardy,50.6996,-127.4199,33.98,75,20,16.11,CA,1670074954
355,maracacume,-2.0428,-45.9592,87.46,53,74,5.53,BR,1670074954
356,campbeltown,55.4258,-5.6076,46.45,70,100,10.36,GB,1670074678
357,kavaratti,10.5669,72.642,82.65,70,99,5.91,IN,1670074954
358,sinnamary,5.3833,-52.95,80.92,76,89,7.94,GF,1670074954
359,kiama,-34.6833,150.8667,64.99,93,0,7.14,AU,1670074955
